gamesid,appName,appType,price,release_Date,rating,requiredAge,is_Multiplayer,steam_appid,average_forever,owners,achievement,ownersNumerical
341640,Relativity Wars - A Science Space RTS,game,6.99,2015-04-10 00:00:00,-1,0,0,341640,0,"0 .. 20,000",No,10000
341660,Barren Roads,game,14.99,2015-06-01 00:00:00,-1,0,1,341660,0,"0 .. 20,000",No,10000
341680,stratO,game,9.99,2015-06-01 00:00:00,-1,0,0,341680,0,"0 .. 20,000",No,10000
341690,The Great Fusion,game,4.99,2015-02-25 00:00:00,-1,0,0,341690,0,"0 .. 20,000",No,10000
341700,Cahors Sunset,game,1.99,2015-01-13 00:00:00,-1,0,0,341700,0,"0 .. 20,000",No,10000
341710,Crest,game,8.99,2015-04-23 00:00:00,-1,0,0,341710,37,"0 .. 20,000",No,10000
341720,Among Ripples,game,0.0,2015-01-22 00:00:00,-1,0,0,341720,6,"200,000 .. 500,000",No,250000
341730,Dustoff Heli Rescue,game,3.99,2015-03-06 00:00:00,-1,10,0,341730,0,"20,000 .. 50,000",No,35000
341750,A.V.,game,6.99,2015-02-13 00:00:00,-1,0,0,341750,0,"0 .. 20,000",No,10000
341760,Flem,game,5.99,2015-04-28 00:00:00,-1,0,0,341760,0,"0 .. 20,000",No,10000
341770,Geared,game,6.99,2015-05-15 00:00:00,-1,0,0,341770,0,"0 .. 20,000",No,10000
341780,Chronicles of a Dark Lord: Episode II War of The Abyss,game,4.99,2015-01-16 00:00:00,-1,0,0,341780,257,"50,000 .. 100,000",No,75000
341800,Keep Talking and Nobody Explodes,game,14.99,2015-10-08 00:00:00,67,0,0,341800,196,"500,000 .. 1,000,000",No,750000
341820,Plush,game,3.99,2015-02-13 00:00:00,-1,0,0,341820,0,"0 .. 20,000",No,10000
341860,SickBrick,game,4.99,2015-01-30 00:00:00,-1,0,0,341860,0,"50,000 .. 100,000",No,75000
341870,TEMBO THE BADASS ELEPHANT,game,14.99,2015-07-21 00:00:00,-1,10,0,341870,0,"20,000 .. 50,000",No,35000
341910,Ultimate Space Commando,game,19.99,2015-05-12 00:00:00,-1,0,1,341910,0,"20,000 .. 50,000",No,35000
